match_number,date,stage,group,home_team,away_team,score,home_score,away_score,predicted_winner,confidence,safe_score,upside_score,recommended_rule,model_score,model_predicted_winner,filled_score,filled_predicted_winner,new_model_score,new_model_predicted_winner,round_locked,round_status,score_source,model_favourite_prob,prob_home_win,prob_draw,prob_away_win,actual_available,actual_home_score,actual_away_score,actual_score,actual_outcome,actual_winner,actual_source,pre_match_score,pre_match_predicted_winner,pre_match_confidence,pre_match_model_favourite_prob,pre_match_source,prediction_exact,prediction_outcome_correct,actual_online_verified
82,2026-07-01,Round of 32,,United States,Bosnia and Herzegovina,2-0,2,0,United States,high,1-0,2-0,wk2022_tuned_strong_2_0,2-0,United States,2-0,United States,,,False,open,current_run,0.769,0.769,0.0,0.23099999999999998,False,,,,,,,2-0,United States,high,0.769,current_run,,,False
83,2026-07-02,Round of 32,,Spain,Austria,2-0,2,0,Spain,high,2-0,2-0,safe_expected_points,2-0,Spain,2-0,Spain,,,False,open,current_run,0.862,0.862,0.0,0.138,False,,,,,,,2-0,Spain,high,0.862,current_run,,,False
84,2026-07-02,Round of 32,,Portugal,Croatia,2-1,2,1,Portugal,medium,1-0,2-1,wk2022_tuned_medium_2_1,2-1,Portugal,2-1,Portugal,,,False,open,current_run,0.626,0.626,0.0,0.374,False,,,,,,,2-1,Portugal,medium,0.626,current_run,,,False
85,2026-07-02,Round of 32,,Switzerland,Iran,2-0,2,0,Switzerland,high,1-0,2-0,wk2022_tuned_strong_2_0,2-0,Switzerland,2-0,Switzerland,,,False,open,current_run,0.741,0.741,0.0,0.259,False,,,,,,,2-0,Switzerland,high,0.741,current_run,,,False
86,2026-07-03,Round of 32,,Australia,Belgium,1-2,1,2,Belgium,medium,0-1,1-2,wk2022_tuned_medium_2_1,1-2,Belgium,1-2,Belgium,,,False,open,current_run,0.615,0.385,0.0,0.615,False,,,,,,,1-2,Belgium,medium,0.615,current_run,,,False
87,2026-07-03,Round of 32,,Argentina,Uruguay,2-0,2,0,Argentina,high,2-0,2-0,safe_expected_points,2-0,Argentina,2-0,Argentina,,,False,open,current_run,0.86,0.86,0.0,0.14,False,,,,,,,2-0,Argentina,high,0.86,current_run,,,False
88,2026-07-03,Round of 32,,Colombia,Ghana,2-0,2,0,Colombia,high,2-0,2-0,safe_expected_points,2-0,Colombia,2-0,Colombia,,,False,open,current_run,0.918,0.918,0.0,0.08199999999999996,False,,,,,,,2-0,Colombia,high,0.918,current_run,,,False
89,2026-07-04,Round of 16,,Canada,Germany,0-1,0,1,Germany,medium,0-1,0-1,safe_expected_points,0-1,Germany,0-1,Germany,,,False,open,current_run,0.693,0.30700000000000005,0.0,0.693,False,,,,,,,0-1,Germany,medium,0.693,current_run,,,False
90,2026-07-04,Round of 16,,Brazil,Norway,2-1,2,1,Brazil,medium,1-0,2-1,wk2022_tuned_medium_2_1,2-1,Brazil,2-1,Brazil,,,False,open,current_run,0.614,0.614,0.0,0.386,False,,,,,,,2-1,Brazil,medium,0.614,current_run,,,False
91,2026-07-05,Round of 16,,Netherlands,France,1-2,1,2,France,medium,0-1,1-2,wk2022_tuned_medium_2_1,1-2,France,1-2,France,,,False,open,current_run,0.643,0.357,0.0,0.643,False,,,,,,,1-2,France,medium,0.643,current_run,,,False
92,2026-07-05,Round of 16,,Mexico,England,1-2,1,2,England,low,0-1,1-2,wk2022_tuned_medium_2_1,1-2,England,1-2,England,,,False,open,current_run,0.532,0.46799999999999997,0.0,0.532,False,,,,,,,1-2,England,low,0.532,current_run,,,False
93,2026-07-06,Round of 16,,Spain,Portugal,1-0,1,0,Spain,medium,1-0,1-0,safe_expected_points,1-0,Spain,1-0,Spain,,,False,open,current_run,0.691,0.691,0.0,0.30900000000000005,False,,,,,,,1-0,Spain,medium,0.691,current_run,,,False
94,2026-07-06,Round of 16,,Egypt,United States,1-2,1,2,United States,medium,0-1,1-2,wk2022_tuned_medium_2_1,1-2,United States,1-2,United States,,,False,open,current_run,0.631,0.369,0.0,0.631,False,,,,,,,1-2,United States,medium,0.631,current_run,,,False
95,2026-07-07,Round of 16,,Belgium,Colombia,0-1,0,1,Colombia,medium,0-1,0-1,safe_expected_points,0-1,Colombia,0-1,Colombia,,,False,open,current_run,0.682,0.31799999999999995,0.0,0.682,False,,,,,,,0-1,Colombia,medium,0.682,current_run,,,False
96,2026-07-07,Round of 16,,Switzerland,Argentina,0-2,0,2,Argentina,high,0-1,0-2,wk2022_tuned_strong_2_0,0-2,Argentina,0-2,Argentina,,,False,open,current_run,0.776,0.22399999999999998,0.0,0.776,False,,,,,,,0-2,Argentina,high,0.776,current_run,,,False
97,2026-07-09,Quarterfinals,,Germany,Brazil,1-2,1,2,Brazil,medium,0-1,1-2,wk2022_tuned_medium_2_1,1-2,Brazil,1-2,Brazil,,,False,open,current_run,0.585,0.41500000000000004,0.0,0.585,False,,,,,,,1-2,Brazil,medium,0.585,current_run,,,False
98,2026-07-10,Quarterfinals,,Spain,United States,2-0,2,0,Spain,high,1-0,2-0,wk2022_tuned_strong_2_0,2-0,Spain,2-0,Spain,,,False,open,current_run,0.85,0.85,0.0,0.15000000000000002,False,,,,,,,2-0,Spain,high,0.85,current_run,,,False
99,2026-07-11,Quarterfinals,,France,England,2-1,2,1,France,medium,1-0,2-1,wk2022_tuned_medium_2_1,2-1,France,2-1,France,,,False,open,current_run,0.624,0.624,0.0,0.376,False,,,,,,,2-1,France,medium,0.624,current_run,,,False
100,2026-07-11,Quarterfinals,,Colombia,Argentina,0-1,0,1,Argentina,high,0-1,0-1,safe_expected_points,0-1,Argentina,0-1,Argentina,,,False,open,current_run,0.714,0.28600000000000003,0.0,0.714,False,,,,,,,0-1,Argentina,high,0.714,current_run,,,False
101,2026-07-14,Semifinals,,Brazil,Spain,1-2,1,2,Spain,medium,0-1,1-2,wk2022_tuned_medium_2_1,1-2,Spain,1-2,Spain,,,False,open,current_run,0.657,0.34299999999999997,0.0,0.657,False,,,,,,,1-2,Spain,medium,0.657,current_run,,,False
102,2026-07-15,Semifinals,,France,Argentina,1-2,1,2,Argentina,medium,0-1,1-2,wk2022_tuned_medium_2_1,1-2,Argentina,1-2,Argentina,,,False,open,current_run,0.56,0.43999999999999995,0.0,0.56,False,,,,,,,1-2,Argentina,medium,0.56,current_run,,,False
103,2026-07-18,Third Place Playoff,,Brazil,France,1-2,1,2,France,medium,0-1,1-2,wk2022_tuned_medium_2_1,1-2,France,1-2,France,,,False,open,current_run,0.62,0.38,0.0,0.62,False,,,,,,,1-2,France,medium,0.62,current_run,,,False
104,2026-07-19,Final,,Spain,Argentina,1-2,1,2,Argentina,low,0-1,1-2,wk2022_tuned_medium_2_1,1-2,Argentina,1-2,Argentina,,,False,open,current_run,0.52,0.48,0.0,0.52,False,,,,,,,1-2,Argentina,low,0.52,current_run,,,False
