source,soccerbase_game_id,date,competition,season,tab,stage,home_team,away_team,team,opponent,is_home,player_id,player_name,card_type,minute,event_source,source_url
soccerbase,878863,2023-07-03,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Mexico,Qatar,Qatar,Mexico,0,134811,Mohammed Waad,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878863,2023-07-03,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Mexico,Qatar,Qatar,Mexico,0,109039,Ahmed Fathy,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878863,2023-07-03,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Mexico,Qatar,Qatar,Mexico,0,106001,Assim Madibo,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878863,2023-07-03,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Mexico,Qatar,Qatar,Mexico,0,127104,Mostafa Meshaal,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878863,2023-07-03,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Mexico,Qatar,Qatar,Mexico,0,177435,Mahdi Salem,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878863,2023-07-03,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Mexico,Qatar,Qatar,Mexico,0,172378,Tameem Mansour,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878861,2023-06-30,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Haiti,Mexico,Haiti,Mexico,1,110416,F Pierrot,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878861,2023-06-30,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Haiti,Mexico,Mexico,Haiti,0,119263,J Sanchez,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878860,2023-06-30,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Qatar,Honduras,Qatar,Honduras,1,116089,Meshaal Barsham,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878860,2023-06-30,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Qatar,Honduras,Qatar,Honduras,1,107961,Bassam Al Rawi,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878860,2023-06-30,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Qatar,Honduras,Qatar,Honduras,1,126462,Yusuf Abdurisag,red,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878860,2023-06-30,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Qatar,Honduras,Qatar,Honduras,1,134811,Mohammed Waad,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878860,2023-06-30,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Qatar,Honduras,Qatar,Honduras,1,109039,Ahmed Fathy,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878860,2023-06-30,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Qatar,Honduras,Honduras,Qatar,0,118840,J Rosales,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878860,2023-06-30,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Qatar,Honduras,Honduras,Qatar,0,83987,R Castillo,red,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878860,2023-06-30,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Qatar,Honduras,Honduras,Qatar,0,110959,J Jorge Alvarez,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
