source,soccerbase_game_id,date,competition,season,tab,stage,home_team,away_team,home_possession,away_possession,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_corners,away_corners,stats_source,source_url
soccerbase,878876,2023-07-09,CONCACAF Gold Cup,2023,Knockout Stages,Quarter-finals,Panama,Qatar,61.9,38.1,6,1,7,3,3,5,additional_information,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015&tab=tab-2445
soccerbase,784533,2019-06-24,CONCACAF Gold Cup,2019,default,Group A Matches and results,Martinique,Mexico,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703
soccerbase,784532,2019-06-23,CONCACAF Gold Cup,2019,default,Group A Matches and results,Canada,Cuba,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703
soccerbase,784526,2019-06-20,CONCACAF Gold Cup,2019,default,Group A Matches and results,Cuba,Martinique,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703
soccerbase,784527,2019-06-20,CONCACAF Gold Cup,2019,default,Group A Matches and results,Mexico,Canada,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703
soccerbase,784520,2019-06-16,CONCACAF Gold Cup,2019,default,Group A Matches and results,Canada,Martinique,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703
soccerbase,784521,2019-06-16,CONCACAF Gold Cup,2019,default,Group A Matches and results,Mexico,Cuba,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703
soccerbase,784535,2019-06-25,CONCACAF Gold Cup,2019,default: B,Group B Matches and results,Haiti,Costa Rica,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_1
soccerbase,784534,2019-06-24,CONCACAF Gold Cup,2019,default: B,Group B Matches and results,Bermuda,Nicaragua,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_1
soccerbase,784529,2019-06-21,CONCACAF Gold Cup,2019,default: B,Group B Matches and results,Costa Rica,Bermuda,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_1
soccerbase,784528,2019-06-21,CONCACAF Gold Cup,2019,default: B,Group B Matches and results,Nicaragua,Haiti,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_1
soccerbase,784523,2019-06-17,CONCACAF Gold Cup,2019,default: B,Group B Matches and results,Costa Rica,Nicaragua,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_1
soccerbase,784522,2019-06-16,CONCACAF Gold Cup,2019,default: B,Group B Matches and results,Haiti,Bermuda,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_1
soccerbase,784537,2019-06-26,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Honduras,El Salvador,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2
soccerbase,784536,2019-06-26,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Curacao,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2
soccerbase,784530,2019-06-22,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,El Salvador,Jamaica,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2
