source,espn_event_id,match_number,date,kickoff_utc,stage,home_team,away_team,home_slot,away_slot,home_is_placeholder,away_is_placeholder,espn_home_team,espn_away_team,espn_name,espn_home_abbreviation,espn_away_abbreviation
espn,760450,39,2026-06-21,2026-06-21T22:00Z,Group Stage,Uruguay,Cape Verde,,,False,False,Uruguay,Cape Verde,Cape Verde at Uruguay,URU,CPV
espn,760452,40,2026-06-22,2026-06-22T01:00Z,Group Stage,New Zealand,Egypt,,,False,False,New Zealand,Egypt,Egypt at New Zealand,NZL,EGY
espn,760456,41,2026-06-22,2026-06-22T17:00Z,Group Stage,Argentina,Austria,,,False,False,Argentina,Austria,Austria at Argentina,ARG,AUT
espn,760457,42,2026-06-22,2026-06-22T21:00Z,Group Stage,France,Iraq,,,False,False,France,Iraq,Iraq at France,FRA,IRQ
espn,760454,43,2026-06-23,2026-06-23T00:00Z,Group Stage,Norway,Senegal,,,False,False,Norway,Senegal,Senegal at Norway,NOR,SEN
espn,760455,44,2026-06-23,2026-06-23T03:00Z,Group Stage,Jordan,Algeria,,,False,False,Jordan,Algeria,Algeria at Jordan,JOR,ALG
espn,760461,45,2026-06-23,2026-06-23T17:00Z,Group Stage,Portugal,Uzbekistan,,,False,False,Portugal,Uzbekistan,Uzbekistan at Portugal,POR,UZB
espn,760458,46,2026-06-23,2026-06-23T20:00Z,Group Stage,England,Ghana,,,False,False,England,Ghana,Ghana at England,ENG,GHA
espn,760460,47,2026-06-23,2026-06-23T23:00Z,Group Stage,Panama,Croatia,,,False,False,Panama,Croatia,Croatia at Panama,PAN,CRO
espn,760459,48,2026-06-24,2026-06-24T02:00Z,Group Stage,Colombia,DR Congo,,,False,False,Colombia,Congo DR,Congo DR at Colombia,COL,COD
espn,760462,49,2026-06-24,2026-06-24T19:00Z,Group Stage,Bosnia and Herzegovina,Qatar,,,False,False,Bosnia-Herzegovina,Qatar,Qatar at Bosnia-Herzegovina,BIH,QAT
espn,760463,50,2026-06-24,2026-06-24T19:00Z,Group Stage,Switzerland,Canada,,,False,False,Switzerland,Canada,Canada at Switzerland,SUI,CAN
espn,760464,51,2026-06-24,2026-06-24T22:00Z,Group Stage,Morocco,Haiti,,,False,False,Morocco,Haiti,Haiti at Morocco,MAR,HAI
espn,760465,52,2026-06-24,2026-06-24T22:00Z,Group Stage,Scotland,Brazil,,,False,False,Scotland,Brazil,Brazil at Scotland,SCO,BRA
espn,760467,53,2026-06-25,2026-06-25T01:00Z,Group Stage,Czechia,Mexico,,,False,False,Czechia,Mexico,Mexico at Czechia,CZE,MEX
espn,760466,54,2026-06-25,2026-06-25T01:00Z,Group Stage,South Africa,South Korea,,,False,False,South Africa,South Korea,South Korea at South Africa,RSA,KOR
espn,760473,55,2026-06-25,2026-06-25T20:00Z,Group Stage,Curaçao,Ivory Coast,,,False,False,Curaçao,Ivory Coast,Ivory Coast at Curaçao,CUW,CIV
espn,760468,56,2026-06-25,2026-06-25T20:00Z,Group Stage,Ecuador,Germany,,,False,False,Ecuador,Germany,Germany at Ecuador,ECU,GER
espn,760471,57,2026-06-25,2026-06-25T23:00Z,Group Stage,Japan,Sweden,,,False,False,Japan,Sweden,Sweden at Japan,JPN,SWE
espn,760472,58,2026-06-25,2026-06-25T23:00Z,Group Stage,Tunisia,Netherlands,,,False,False,Tunisia,Netherlands,Netherlands at Tunisia,TUN,NED
espn,760469,59,2026-06-26,2026-06-26T02:00Z,Group Stage,Paraguay,Australia,,,False,False,Paraguay,Australia,Australia at Paraguay,PAR,AUS
espn,760470,60,2026-06-26,2026-06-26T02:00Z,Group Stage,Türkiye,United States,,,False,False,Türkiye,United States,United States at Türkiye,TUR,USA
espn,760475,61,2026-06-26,2026-06-26T19:00Z,Group Stage,Norway,France,,,False,False,Norway,France,France at Norway,NOR,FRA
espn,760474,62,2026-06-26,2026-06-26T19:00Z,Group Stage,Senegal,Iraq,,,False,False,Senegal,Iraq,Iraq at Senegal,SEN,IRQ
espn,760478,63,2026-06-27,2026-06-27T00:00Z,Group Stage,Cape Verde,Saudi Arabia,,,False,False,Cape Verde,Saudi Arabia,Saudi Arabia at Cape Verde,CPV,KSA
espn,760479,64,2026-06-27,2026-06-27T00:00Z,Group Stage,Uruguay,Spain,,,False,False,Uruguay,Spain,Spain at Uruguay,URU,ESP
espn,760476,65,2026-06-27,2026-06-27T03:00Z,Group Stage,Egypt,Iran,,,False,False,Egypt,Iran,Iran at Egypt,EGY,IRN
espn,760477,66,2026-06-27,2026-06-27T03:00Z,Group Stage,New Zealand,Belgium,,,False,False,New Zealand,Belgium,Belgium at New Zealand,NZL,BEL
espn,760480,67,2026-06-27,2026-06-27T21:00Z,Group Stage,Croatia,Ghana,,,False,False,Croatia,Ghana,Ghana at Croatia,CRO,GHA
espn,760485,68,2026-06-27,2026-06-27T21:00Z,Group Stage,Panama,England,,,False,False,Panama,England,England at Panama,PAN,ENG
espn,760481,69,2026-06-27,2026-06-27T23:30Z,Group Stage,Colombia,Portugal,,,False,False,Colombia,Portugal,Portugal at Colombia,COL,POR
espn,760482,70,2026-06-27,2026-06-27T23:30Z,Group Stage,DR Congo,Uzbekistan,,,False,False,Congo DR,Uzbekistan,Uzbekistan at Congo DR,COD,UZB
espn,760484,71,2026-06-28,2026-06-28T02:00Z,Group Stage,Algeria,Austria,,,False,False,Algeria,Austria,Austria at Algeria,ALG,AUT
espn,760483,72,2026-06-28,2026-06-28T02:00Z,Group Stage,Jordan,Argentina,,,False,False,Jordan,Argentina,Argentina at Jordan,JOR,ARG
espn,760486,73,2026-06-28,2026-06-28T19:00Z,Round of 32,South Africa,Canada,,,False,False,South Africa,Canada,Canada at South Africa,RSA,CAN
espn,760487,74,2026-06-29,2026-06-29T17:00Z,Round of 32,Brazil,Japan,,,False,False,Brazil,Japan,Japan at Brazil,BRA,JPN
espn,760489,75,2026-06-29,2026-06-29T20:30Z,Round of 32,Germany,Paraguay,,,False,False,Germany,Paraguay,Paraguay at Germany,GER,PAR
espn,760488,76,2026-06-30,2026-06-30T01:00Z,Round of 32,Netherlands,Morocco,,,False,False,Netherlands,Morocco,Morocco at Netherlands,NED,MAR
espn,760490,77,2026-06-30,2026-06-30T17:00Z,Round of 32,Ivory Coast,Norway,,,False,False,Ivory Coast,Norway,Norway at Ivory Coast,CIV,NOR
espn,760492,78,2026-06-30,2026-06-30T21:00Z,Round of 32,France,Sweden,,,False,False,France,Sweden,Sweden at France,FRA,SWE
espn,760491,79,2026-07-01,2026-07-01T02:00Z,Round of 32,Mexico,Ecuador,,,False,False,Mexico,Ecuador,Ecuador at Mexico,MEX,ECU
espn,760495,80,2026-07-01,2026-07-01T16:00Z,Round of 32,England,DR Congo,,,False,False,England,Congo DR,Congo DR at England,ENG,COD
espn,760493,81,2026-07-01,2026-07-01T20:00Z,Round of 32,Belgium,Senegal,,,False,False,Belgium,Senegal,Senegal at Belgium,BEL,SEN
espn,760494,82,2026-07-02,2026-07-02T00:00Z,Round of 32,United States,Bosnia and Herzegovina,,,False,False,United States,Bosnia-Herzegovina,Bosnia-Herzegovina at United States,USA,BIH
espn,760497,83,2026-07-02,2026-07-02T19:00Z,Round of 32,Spain,Austria,,,False,False,Spain,Austria,Austria at Spain,ESP,AUT
espn,760496,84,2026-07-02,2026-07-02T23:00Z,Round of 32,Portugal,Croatia,,,False,False,Portugal,Croatia,Croatia at Portugal,POR,CRO
espn,760498,85,2026-07-03,2026-07-03T03:00Z,Round of 32,Switzerland,Algeria,,,False,False,Switzerland,Algeria,Algeria at Switzerland,SUI,ALG
espn,760499,86,2026-07-03,2026-07-03T18:00Z,Round of 32,Australia,Egypt,,,False,False,Australia,Egypt,Egypt at Australia,AUS,EGY
espn,760500,87,2026-07-03,2026-07-03T22:00Z,Round of 32,Argentina,Cape Verde,,,False,False,Argentina,Cape Verde,Cape Verde at Argentina,ARG,CPV
espn,760501,88,2026-07-04,2026-07-04T01:30Z,Round of 32,Colombia,Ghana,,,False,False,Colombia,Ghana,Ghana at Colombia,COL,GHA
espn,760502,89,2026-07-04,2026-07-04T17:00Z,Round of 16,Canada,Morocco,,,False,False,Canada,Morocco,Morocco at Canada,CAN,MAR
espn,760503,90,2026-07-04,2026-07-04T21:00Z,Round of 16,Paraguay,France,,,False,False,Paraguay,France,France at Paraguay,PAR,FRA
espn,760504,91,2026-07-05,2026-07-05T20:00Z,Round of 16,Brazil,Norway,,,False,False,Brazil,Norway,Norway at Brazil,BRA,NOR
espn,760505,92,2026-07-06,2026-07-06T01:00Z,Round of 16,Mexico,England,,,False,False,Mexico,England,England at Mexico,MEX,ENG
espn,760506,93,2026-07-06,2026-07-06T19:00Z,Round of 16,Portugal,Spain,,,False,False,Portugal,Spain,Spain at Portugal,POR,ESP
espn,760507,94,2026-07-07,2026-07-07T00:00Z,Round of 16,United States,Belgium,,,False,False,United States,Belgium,Belgium at United States,USA,BEL
espn,760509,95,2026-07-07,2026-07-07T16:00Z,Round of 16,Argentina,Egypt,,,False,False,Argentina,Egypt,Egypt at Argentina,ARG,EGY
espn,760508,96,2026-07-07,2026-07-07T20:00Z,Round of 16,Switzerland,Colombia,,,False,False,Switzerland,Colombia,Colombia at Switzerland,SUI,COL
espn,760510,97,2026-07-09,2026-07-09T20:00Z,Quarterfinals,France,Morocco,,,False,False,France,Morocco,Morocco at France,FRA,MAR
espn,760511,98,2026-07-10,2026-07-10T19:00Z,Quarterfinals,Spain,Belgium,,,False,False,Spain,Belgium,Belgium at Spain,ESP,BEL
espn,760512,99,2026-07-11,2026-07-11T21:00Z,Quarterfinals,Norway,England,,,False,False,Norway,England,England at Norway,NOR,ENG
espn,760513,100,2026-07-12,2026-07-12T01:00Z,Quarterfinals,Argentina,Switzerland,,,False,False,Argentina,Switzerland,Switzerland at Argentina,ARG,SUI
espn,760514,101,2026-07-14,2026-07-14T19:00Z,Semifinals,France,Spain,,,False,False,France,Spain,Spain at France,FRA,ESP
espn,760515,102,2026-07-15,2026-07-15T19:00Z,Semifinals,England,Argentina,,,False,False,England,Argentina,Argentina at England,ENG,ARG
espn,760516,103,2026-07-18,2026-07-18T21:00Z,Third Place Playoff,RU101,RU102,RU101,RU102,True,True,Semifinal 1 Loser,Semifinal 2 Loser,Semifinal 2 Loser at Semifinal 1 Loser,SF L1,SF L2
espn,760517,104,2026-07-19,2026-07-19T19:00Z,Final,W101,W102,W101,W102,True,True,Semifinal 1 Winner,Semifinal 2 Winner,Semifinal 2 Winner at Semifinal 1 Winner,SFW1,SFW2
