source,soccerbase_game_id,date,competition,season,tab,stage,home_team,away_team,team,opponent,is_home,player_id,player_name,squad_status,is_starter,is_sub_used,is_unused_sub,sub_on_minute,sub_off_minute,soccerbase_position,shirt_number,referee,card_summary,kaggle_match_quality,kaggle_rating_snapshot_note,source_url,tournament_url,kaggle_player_id,kaggle_version,kaggle_name,kaggle_full_name,kaggle_description,kaggle_image,kaggle_height_cm,kaggle_weight_kg,kaggle_dob,kaggle_positions,kaggle_overall_rating,kaggle_potential,kaggle_value,kaggle_wage,kaggle_preferred_foot,kaggle_weak_foot,kaggle_skill_moves,kaggle_international_reputation,kaggle_work_rate,kaggle_body_type,kaggle_real_face,kaggle_release_clause,kaggle_specialities,kaggle_club_id,kaggle_club_name,kaggle_club_league_id,kaggle_club_league_name,kaggle_club_logo,kaggle_club_rating,kaggle_club_position,kaggle_club_kit_number,kaggle_club_joined,kaggle_club_contract_valid_until,kaggle_country_id,kaggle_country_name,kaggle_country_league_id,kaggle_country_league_name,kaggle_country_flag,kaggle_country_rating,kaggle_country_position,kaggle_country_kit_number,kaggle_crossing,kaggle_finishing,kaggle_heading_accuracy,kaggle_short_passing,kaggle_volleys,kaggle_dribbling,kaggle_curve,kaggle_fk_accuracy,kaggle_long_passing,kaggle_ball_control,kaggle_acceleration,kaggle_sprint_speed,kaggle_agility,kaggle_reactions,kaggle_balance,kaggle_shot_power,kaggle_jumping,kaggle_stamina,kaggle_strength,kaggle_long_shots,kaggle_aggression,kaggle_interceptions,kaggle_positioning,kaggle_vision,kaggle_penalties,kaggle_composure,kaggle_defensive_awareness,kaggle_standing_tackle,kaggle_sliding_tackle,kaggle_gk_diving,kaggle_gk_handling,kaggle_gk_kicking,kaggle_gk_positioning,kaggle_gk_reflexes,kaggle_play_styles
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,55414,M Hector,starter,1,0,0,,68,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,91412,J Flemmings,sub_used,0,1,0,77,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,115948,P Vassell,starter,1,0,0,,77,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,87296,L Bailey,starter,1,0,0,,,,,Jair Marrufo,,name_unique,sofifa_2025_snapshot_not_historical,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,229906,2025-06-03,Leon Patrick Bailey Butler -, Leon Patrick Bailey Butler,"Leon Bailey (Leon Patrick Bailey Butler, born 9 August 1997) is a Jamaican footballer who plays as a right midfield for British club Aston Villa. In the game FC 25, his overall rating is 80.",https://cdn.sofifa.net/players/229/906/25_120.png,178,77,1997-08-09,RM,80,80,€23M,€110K,Left,2 ,4,3 ,,Lean (170-185),Yes,€43.7M,"Speedster,Dribbler,Acrobat",2.0,Aston Villa,13.0,Premier League,https://cdn.sofifa.net/meta/team/15/30.png,81.0,SUB,31.0,2021-08-04,2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,119518,B Brown,starter,1,0,0,,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,101081,S Nicholson,sub_used,0,1,0,68,,,,Jair Marrufo,,name_unique,sofifa_2025_snapshot_not_historical,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,219684,2025-06-03,Sam Alastair Nicholson -, Sam Alastair Nicholson,"Sam Nicholson (Sam Alastair Nicholson, born 20 January 1995) is a Scottish footballer who plays as a right midfield for Scottish club Motherwell FC. In the game FC 25, his overall rating is 65.",https://cdn.sofifa.net/players/219/684/25_120.png,175,71,1995-01-20,"RM,LM",65,65,€700K,€6K,Left,2 ,3,1 ,,Lean (170-185),No,€1.2M,,83.0,Motherwell FC,50.0,Premiership,https://cdn.sofifa.net/meta/team/309/30.png,64.0,RES,19.0,2024-01-30,2026,,,,,,,,,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,70172,D Orgill,starter,1,0,0,,68,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,91403,R Morris,unused_sub,0,0,1,,,,,Jair Marrufo,,name_unique,sofifa_2025_snapshot_not_historical,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,278750,2025-06-03,Reno Morris Münz -, Reno Morris Münz,"Reno Münz (Reno Morris Münz, born 2 October 2005) is a German footballer who plays as a central defensive midfielder for German club SpVgg Greuther Fürth. In the game FC 25, his overall rating is 62.",https://cdn.sofifa.net/players/278/750/25_120.png,188,81,2005-10-02,"CDM,CM,LB",62,73,€800K,€5K,Left,2 ,2,1 ,,Lean (185+),No,€1.4M,,165.0,SpVgg Greuther Fürth,20.0,2. Bundesliga,https://cdn.sofifa.net/meta/team/3431/30.png,68.0,SUB,5.0,2024-07-01,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,120600,T Magee,unused_sub,0,0,1,,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,103208,A Knight,unused_sub,0,0,1,,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,67201,J Watson,unused_sub,0,0,1,,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,67204,D Mattocks,unused_sub,0,0,1,,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,110499,M Foster,unused_sub,0,0,1,,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,59064,D Miller,unused_sub,0,0,1,,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,101080,K Lambert,unused_sub,0,0,1,,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Jamaica,Honduras,1,119519,J Topey,unused_sub,0,0,1,,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Honduras,Jamaica,0,76134,L Luis Lopez,starter,1,0,0,,,,,Jair Marrufo,,name_best_rating_fallback,sofifa_2025_snapshot_not_historical,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,252935,2025-06-03,Leonardo Cecilio Fernández López -, Leonardo Cecilio Fernández López,"Leonardo Fernández (Leonardo Cecilio Fernández López, born 8 November 1998) is a Uruguayan footballer who plays as a central attacking midfielder for Uruguayan club Peñarol. In the game FC 25, his overall rating is 77.",https://cdn.sofifa.net/players/252/935/25_120.png,166,66,1998-11-08,CAM,77,80,€14M,€28K,Left,3 ,4,1 ,,Normal (170-),Yes,€31.9M,Distance shooter,101110.0,Peñarol,338.0,Primera División,https://cdn.sofifa.net/meta/team/3338/30.png,71.0,CAM,10.0,2024-01-17,2028,,,,,,,,,,,,,,,,,,,,,,,Build-UpdRoaming,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Honduras,Jamaica,0,54746,E Izaguirre,starter,1,0,0,,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Honduras,Jamaica,0,41396,M Figueroa,starter,1,0,0,,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Honduras,Jamaica,0,83971,H Figueroa,starter,1,0,0,,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Honduras,Jamaica,0,59766,B Beckeles,starter,1,0,0,,,,,Jair Marrufo,,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Honduras,Jamaica,0,83962,A Elis,starter,1,0,0,,,,,Jair Marrufo,yellow,,,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,Honduras,Jamaica,0,83987,R Castillo,sub_used,0,1,0,73,,,,Jair Marrufo,,name_best_rating_fallback,sofifa_2025_snapshot_not_historical,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703,231612,2025-06-03,Romain Del Castillo -, Romain Del Castillo,"Romain Del Castillo (born 29 March 1996) is a French footballer who plays as a right winger for French club Stade Brestois 29. In the game FC 25, his overall rating is 77.",https://cdn.sofifa.net/players/231/612/25_120.png,172,65,1996-03-29,"RW,RM",77,77,€10.5M,€30K,Left,3 ,3,2 ,,Normal (170-185),Yes,€20M,Acrobat,378.0,Stade Brestois 29,16.0,Ligue 1,https://cdn.sofifa.net/meta/team/266/30.png,76.0,RW,10.0,2021-08-31,2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
