match_number,date,stage,group,home_team,away_team,score,predicted_winner,note
46,23-06-2026,Groepsfase,L,England,Ghana,3-0,England,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
47,23-06-2026,Groepsfase,L,Panama,Croatia,1-2,Croatia,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
48,23-06-2026,Groepsfase,K,Colombia,DR Congo,2-0,Colombia,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
49,24-06-2026,Groepsfase,B,Bosnia and Herzegovina,Qatar,1-0,Bosnia and Herzegovina,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
50,24-06-2026,Groepsfase,B,Switzerland,Canada,2-1,Switzerland,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
51,24-06-2026,Groepsfase,C,Scotland,Brazil,0-1,Brazil,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
52,24-06-2026,Groepsfase,C,Morocco,Haiti,2-1,Morocco,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
53,24-06-2026,Groepsfase,A,Czech Republic,Mexico,1-2,Mexico,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
54,24-06-2026,Groepsfase,A,South Africa,South Korea,0-1,South Korea,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
55,25-06-2026,Groepsfase,E,Curaçao,Ivory Coast,1-2,Ivory Coast,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
56,25-06-2026,Groepsfase,E,Ecuador,Germany,1-2,Germany,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
57,25-06-2026,Groepsfase,F,Japan,Sweden,2-1,Japan,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
58,25-06-2026,Groepsfase,F,Tunisia,Netherlands,0-1,Netherlands,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
59,25-06-2026,Groepsfase,D,Paraguay,Australia,1-0,Paraguay,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
60,25-06-2026,Groepsfase,D,Turkey,United States,2-1,Turkey,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
61,26-06-2026,Groepsfase,I,Norway,France,1-2,France,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
62,26-06-2026,Groepsfase,I,Senegal,Iraq,2-1,Senegal,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
63,26-06-2026,Groepsfase,H,Cape Verde,Saudi Arabia,1-1,Draw,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
64,26-06-2026,Groepsfase,H,Uruguay,Spain,0-1,Spain,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
65,26-06-2026,Groepsfase,G,New Zealand,Belgium,1-2,Belgium,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
66,26-06-2026,Groepsfase,G,Egypt,Iran,1-1,Draw,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
67,27-06-2026,Groepsfase,L,Croatia,Ghana,2-0,Croatia,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
68,27-06-2026,Groepsfase,L,Panama,England,0-2,England,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
69,27-06-2026,Groepsfase,K,Colombia,Portugal,1-2,Portugal,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
70,27-06-2026,Groepsfase,K,DR Congo,Uzbekistan,2-1,DR Congo,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
71,27-06-2026,Groepsfase,J,Algeria,Austria,1-1,Draw,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
72,27-06-2026,Groepsfase,J,Jordan,Argentina,1-2,Argentina,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
