source,espn_event_id,date,home_team,away_team,home_score,away_score,status,completed,fetched_at,source_url
espn,760450,2026-06-21,Uruguay,Cape Verde,2,2,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760451,2026-06-21,Belgium,Iran,0,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760453,2026-06-21,Spain,Saudi Arabia,4,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760452,2026-06-22,New Zealand,Egypt,1,3,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760456,2026-06-22,Argentina,Austria,2,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760457,2026-06-22,France,Iraq,3,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760454,2026-06-23,Norway,Senegal,3,2,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760455,2026-06-23,Jordan,Algeria,1,2,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760458,2026-06-23,England,Ghana,0,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760460,2026-06-23,Panama,Croatia,0,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760461,2026-06-23,Portugal,Uzbekistan,5,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760459,2026-06-24,Colombia,Congo DR,1,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760462,2026-06-24,Bosnia-Herzegovina,Qatar,3,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760463,2026-06-24,Switzerland,Canada,2,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760464,2026-06-24,Morocco,Haiti,4,2,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760465,2026-06-24,Scotland,Brazil,0,3,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760466,2026-06-25,South Africa,South Korea,1,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760467,2026-06-25,Czechia,Mexico,0,3,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760468,2026-06-25,Ecuador,Germany,2,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760471,2026-06-25,Japan,Sweden,1,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760472,2026-06-25,Tunisia,Netherlands,1,3,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760473,2026-06-25,Curaçao,Ivory Coast,0,2,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760469,2026-06-26,Paraguay,Australia,0,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
