dir,kind,accuracy,log_loss,features,rows_train
outputs_feature_v2_soccerbase_stats_oddsportal,root,0.6121089223638471,0.8504628979738574,500.0,27097.0
outputs_feature_v2_soccerbase_stats_recency,root,0.6152954808806489,0.854560293744454,605.0,27097.0
outputs_feature_v2_soccerbase_stats_squad_market,root,0.61558516801854,0.8546587780180156,491.0,27097.0
outputs_feature_v3_xfkz,root,0.6121089223638471,0.8528667671946041,323.0,27097.0
outputs_feature_v3_xfkz_perf,root,0.6118192352259559,0.8529028053164336,356.0,27097.0
outputs_worldcup2026_default,root,0.6152954808806489,0.8551057524972907,473.0,27097.0
PriorLabsTabPFN\outputs,tabpfn,0.604287369640788,0.8703089692335502,60.0,2000.0
PriorLabsTabPFN\outputs_4000,tabpfn,0.6063151796060255,0.8658382726983318,60.0,4000.0
PriorLabsTabPFN\outputs_all_1000,tabpfn,0.6034183082271147,0.8793548792362178,505.0,1000.0
PriorLabsTabPFN\outputs_thinking_api_top60_high_accuracy,tabpfn,0.6121089223638471,0.8620765461154986,60.0,4000.0
PriorLabsTabPFN\outputs_thinking_api_top60_medium_accuracy,tabpfn,0.6097914252607184,0.8632928845365829,60.0,4000.0
PriorLabsTabPFN\outputs_v3_2000,tabpfn,,,,
PriorLabsTabPFN\outputs_v3_4000,tabpfn,0.608053302433372,0.8651550326258881,60.0,4000.0
PriorLabsTabPFN\outputs_v3_4000_all_e1,tabpfn,0.608342989571263,0.8592032021113756,505.0,4000.0
PriorLabsTabPFN\outputs_v3_4000_e8,tabpfn,0.608342989571263,0.8617065095664087,60.0,4000.0
PriorLabsTabPFN\outputs_v3_4000_e8_balanced,tabpfn,0.5776361529548089,0.8803731452256741,60.0,4000.0
PriorLabsTabPFN\outputs_v3_4000_top120_e8,tabpfn,0.6089223638470452,0.8618872814652878,120.0,4000.0
PriorLabsTabPFN\outputs_v3_8000_e8,tabpfn,0.608053302433372,0.8568618188818719,60.0,8000.0
PriorLabsTabPFN\outputs_v3_allrows_top60_e1,tabpfn,,,,
PriorLabsTabPFN\outputs_v3_auth_probe,tabpfn,,,,
